model,accuracy,balanced_accuracy,precision,recall,f1,reference_points
Full KNN,0.9961769524849808,0.9691250509094376,0.9748427672955975,0.9393939393939394,0.9567901234567902,9391
Compact prototype KNN,0.9964500273074822,0.9634933839394806,0.9935064935064936,0.9272727272727272,0.9592476489028213,128
