model,train_windows,test_windows,accuracy,balanced_accuracy,precision_pelvic_rotation,recall_pelvic_rotation,f1_pelvic_rotation
Logistic Regression,9391,3662,0.9085199344620426,0.911679274876301,0.3199152542372881,0.9151515151515152,0.4740973312401884
SVM,9391,3662,0.9639541234298198,0.9695773866777584,0.5570934256055363,0.9757575757575757,0.7092511013215859
Decision Tree,9391,3662,0.9781540141998908,0.9250405109141169,0.7114427860696517,0.8666666666666667,0.7814207650273224
Random Forest,9391,3662,0.9926269797924632,0.9210691415152381,0.9928571428571429,0.8424242424242424,0.9114754098360656
KNN,9391,3662,0.9961769524849808,0.9691250509094376,0.9748427672955975,0.9393939393939394,0.9567901234567902
